r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277,285,293,301,309,317,325,333,341,349,357,365,373,381,389,397,405,413,421,429,437,445,453,461,469,477,485,493,501,509,517,525,533,541,549,557,565,573,581,589,597,605,613,621,629,637,645,653,661,669,677,685,693,701,709,717,725,733,741,749,757,765,773,781,789,797
3,9,25,41,57,73,89,105,121,137,153,169,185,201,217,233,249,265,281,297,313,329,345,361,377,393,409,425,441,457,473,489,505,521,537,553,569,585,601,617,633,649,665,681,697,713,729,745,761,777,793,809,825,841,857,873,889,905,921,937,953,969,985,1001,1017,1033,1049,1065,1081,1097,1113,1129,1145,1161,1177,1193,1209,1225,1241,1257,1273,1289,1305,1321,1337,1353,1369,1385,1401,1417,1433,1449,1465,1481,1497,1513,1529,1545,1561,1577,1593
4,17,49,81,113,145,177,209,241,273,305,337,369,401,433,465,497,529,561,593,625,657,689,721,753,785,817,849,881,913,945,977,1009,1041,1073,1105,1137,1169,1201,1233,1265,1297,1329,1361,1393,1425,1457,1489,1521,1553,1585,1617,1649,1681,1713,1745,1777,1809,1841,1873,1905,1937,1969,2001,2033,2065,2097,2129,2161,2193,2225,2257,2289,2321,2353,2385,2417,2449,2481,2513,2545,2577,2609,2641,2673,2705,2737,2769,2801,2833,2865,2897,2929,2961,2993,3025,3057,3089,3121,3153,3185
5,33,97,161,225,289,353,417,481,545,609,673,737,801,865,929,993,1057,1121,1185,1249,1313,1377,1441,1505,1569,1633,1697,1761,1825,1889,1953,2017,2081,2145,2209,2273,2337,2401,2465,2529,2593,2657,2721,2785,2849,2913,2977,3041,3105,3169,3233,3297,3361,3425,3489,3553,3617,3681,3745,3809,3873,3937,4001,4065,4129,4193,4257,4321,4385,4449,4513,4577,4641,4705,4769,4833,4897,4961,5025,5089,5153,5217,5281,5345,5409,5473,5537,5601,5665,5729,5793,5857,5921,5985,6049,6113,6177,6241,6305,6369
6,65,193,321,449,577,705,833,961,1089,1217,1345,1473,1601,1729,1857,1985,2113,2241,2369,2497,2625,2753,2881,3009,3137,3265,3393,3521,3649,3777,3905,4033,4161,4289,4417,4545,4673,4801,4929,5057,5185,5313,5441,5569,5697,5825,5953,6081,6209,6337,6465,6593,6721,6849,6977,7105,7233,7361,7489,7617,7745,7873,8001,8129,8257,8385,8513,8641,8769,8897,9025,9153,9281,9409,9537,9665,9793,9921,10049,10177,10305,10433,10561,10689,10817,10945,11073,11201,11329,11457,11585,11713,11841,11969,12097,12225,12353,12481,12609,12737
7,129,385,641,897,1153,1409,1665,1921,2177,2433,2689,2945,3201,3457,3713,3969,4225,4481,4737,4993,5249,5505,5761,6017,6273,6529,6785,7041,7297,7553,7809,8065,8321,8577,8833,9089,9345,9601,9857,10113,10369,10625,10881,11137,11393,11649,11905,12161,12417,12673,12929,13185,13441,13697,13953,14209,14465,14721,14977,15233,15489,15745,16001,16257,16513,16769,17025,17281,17537,17793,18049,18305,18561,18817,19073,19329,19585,19841,20097,20353,20609,20865,21121,21377,21633,21889,22145,22401,22657,22913,23169,23425,23681,23937,24193,24449,24705,24961,25217,25473
8,257,769,1281,1793,2305,2817,3329,3841,4353,4865,5377,5889,6401,6913,7425,7937,8449,8961,9473,9985,10497,11009,11521,12033,12545,13057,13569,14081,14593,15105,15617,16129,16641,17153,17665,18177,18689,19201,19713,20225,20737,21249,21761,22273,22785,23297,23809,24321,24833,25345,25857,26369,26881,27393,27905,28417,28929,29441,29953,30465,30977,31489,32001,32513,33025,33537,34049,34561,35073,35585,36097,36609,37121,37633,38145,38657,39169,39681,40193,40705,41217,41729,42241,42753,43265,43777,44289,44801,45313,45825,46337,46849,47361,47873,48385,48897,49409,49921,50433,50945
9,513,1537,2561,3585,4609,5633,6657,7681,8705,9729,10753,11777,12801,13825,14849,15873,16897,17921,18945,19969,20993,22017,23041,24065,25089,26113,27137,28161,29185,30209,31233,32257,33281,34305,35329,36353,37377,38401,39425,40449,41473,42497,43521,44545,45569,46593,47617,48641,49665,50689,51713,52737,53761,54785,55809,56833,57857,58881,59905,60929,61953,62977,64001,65025,66049,67073,68097,69121,70145,71169,72193,73217,74241,75265,76289,77313,78337,79361,80385,81409,82433,83457,84481,85505,86529,87553,88577,89601,90625,91649,92673,93697,94721,95745,96769,97793,98817,99841,100865,101889
10,1,2049,4097,6145,8193,10241,12289,14337,16385,18433,20481,22529,24577,26625,28673,30721,32769,34817,36865,38913,40961,43009,45057,47105,49153,51201,53249,55297,57345,59393,61441,63489,65537,67585,69633,71681,73729,75777,77825,79873,81921,83969,86017,88065,90113,92161,94209,96257,98305,100353,102401,104449,106497,108545,110593,112641,114689,116737,118785,120833,122881,124929,126977,129025,131073,133121,135169,137217,139265,141313,143361,145409,147457,149505,151553,153601,155649,157697,159745,161793,163841,165889,167937,169985,172033,174081,176129,178177,180225,182273,184321,186369,188417,190465,192513,194561,196609,198657,200705,202753
