r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,3,11,19,27,35,43,51,59,67,75,83,91,99,107,115,123,131,139,147,155,163,171,179,187,195,203,211,219,227,235,243,251,259,267,275,283,291,299,307,315,323,331,339,347,355,363,371,379,387,395,403,411,419,427,435,443,451,459,467,475,483,491,499,507,515,523,531,539,547,555,563,571,579,587,595,603,611,619,627,635,643,651,659,667,675,683,691,699,707,715,723,731,739,747,755,763,771,779,787,795
3,15,31,47,63,79,95,111,127,143,159,175,191,207,223,239,255,271,287,303,319,335,351,367,383,399,415,431,447,463,479,495,511,527,543,559,575,591,607,623,639,655,671,687,703,719,735,751,767,783,799,815,831,847,863,879,895,911,927,943,959,975,991,1007,1023,1039,1055,1071,1087,1103,1119,1135,1151,1167,1183,1199,1215,1231,1247,1263,1279,1295,1311,1327,1343,1359,1375,1391,1407,1423,1439,1455,1471,1487,1503,1519,1535,1551,1567,1583,1599
4,7,39,71,103,135,167,199,231,263,295,327,359,391,423,455,487,519,551,583,615,647,679,711,743,775,807,839,871,903,935,967,999,1031,1063,1095,1127,1159,1191,1223,1255,1287,1319,1351,1383,1415,1447,1479,1511,1543,1575,1607,1639,1671,1703,1735,1767,1799,1831,1863,1895,1927,1959,1991,2023,2055,2087,2119,2151,2183,2215,2247,2279,2311,2343,2375,2407,2439,2471,2503,2535,2567,2599,2631,2663,2695,2727,2759,2791,2823,2855,2887,2919,2951,2983,3015,3047,3079,3111,3143,3175
5,55,119,183,247,311,375,439,503,567,631,695,759,823,887,951,1015,1079,1143,1207,1271,1335,1399,1463,1527,1591,1655,1719,1783,1847,1911,1975,2039,2103,2167,2231,2295,2359,2423,2487,2551,2615,2679,2743,2807,2871,2935,2999,3063,3127,3191,3255,3319,3383,3447,3511,3575,3639,3703,3767,3831,3895,3959,4023,4087,4151,4215,4279,4343,4407,4471,4535,4599,4663,4727,4791,4855,4919,4983,5047,5111,5175,5239,5303,5367,5431,5495,5559,5623,5687,5751,5815,5879,5943,6007,6071,6135,6199,6263,6327,6391
6,23,151,279,407,535,663,791,919,1047,1175,1303,1431,1559,1687,1815,1943,2071,2199,2327,2455,2583,2711,2839,2967,3095,3223,3351,3479,3607,3735,3863,3991,4119,4247,4375,4503,4631,4759,4887,5015,5143,5271,5399,5527,5655,5783,5911,6039,6167,6295,6423,6551,6679,6807,6935,7063,7191,7319,7447,7575,7703,7831,7959,8087,8215,8343,8471,8599,8727,8855,8983,9111,9239,9367,9495,9623,9751,9879,10007,10135,10263,10391,10519,10647,10775,10903,11031,11159,11287,11415,11543,11671,11799,11927,12055,12183,12311,12439,12567,12695
7,87,343,599,855,1111,1367,1623,1879,2135,2391,2647,2903,3159,3415,3671,3927,4183,4439,4695,4951,5207,5463,5719,5975,6231,6487,6743,6999,7255,7511,7767,8023,8279,8535,8791,9047,9303,9559,9815,10071,10327,10583,10839,11095,11351,11607,11863,12119,12375,12631,12887,13143,13399,13655,13911,14167,14423,14679,14935,15191,15447,15703,15959,16215,16471,16727,16983,17239,17495,17751,18007,18263,18519,18775,19031,19287,19543,19799,20055,20311,20567,20823,21079,21335,21591,21847,22103,22359,22615,22871,23127,23383,23639,23895,24151,24407,24663,24919,25175,25431
8,215,727,1239,1751,2263,2775,3287,3799,4311,4823,5335,5847,6359,6871,7383,7895,8407,8919,9431,9943,10455,10967,11479,11991,12503,13015,13527,14039,14551,15063,15575,16087,16599,17111,17623,18135,18647,19159,19671,20183,20695,21207,21719,22231,22743,23255,23767,24279,24791,25303,25815,26327,26839,27351,27863,28375,28887,29399,29911,30423,30935,31447,31959,32471,32983,33495,34007,34519,35031,35543,36055,36567,37079,37591,38103,38615,39127,39639,40151,40663,41175,41687,42199,42711,43223,43735,44247,44759,45271,45783,46295,46807,47319,47831,48343,48855,49367,49879,50391,50903
9,471,1495,2519,3543,4567,5591,6615,7639,8663,9687,10711,11735,12759,13783,14807,15831,16855,17879,18903,19927,20951,21975,22999,24023,25047,26071,27095,28119,29143,30167,31191,32215,33239,34263,35287,36311,37335,38359,39383,40407,41431,42455,43479,44503,45527,46551,47575,48599,49623,50647,51671,52695,53719,54743,55767,56791,57815,58839,59863,60887,61911,62935,63959,64983,66007,67031,68055,69079,70103,71127,72151,73175,74199,75223,76247,77271,78295,79319,80343,81367,82391,83415,84439,85463,86487,87511,88535,89559,90583,91607,92631,93655,94679,95703,96727,97751,98775,99799,100823,101847
10,2007,4055,6103,8151,10199,12247,14295,16343,18391,20439,22487,24535,26583,28631,30679,32727,34775,36823,38871,40919,42967,45015,47063,49111,51159,53207,55255,57303,59351,61399,63447,65495,67543,69591,71639,73687,75735,77783,79831,81879,83927,85975,88023,90071,92119,94167,96215,98263,100311,102359,104407,106455,108503,110551,112599,114647,116695,118743,120791,122839,124887,126935,128983,131031,133079,135127,137175,139223,141271,143319,145367,147415,149463,151511,153559,155607,157655,159703,161751,163799,165847,167895,169943,171991,174039,176087,178135,180183,182231,184279,186327,188375,190423,192471,194519,196567,198615,200663,202711,204759
